episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,route
346,67,-152.85,12.42,140.38,0.0278,0.0000,0,collision,
347,89,-147.10,16.22,189.55,0.0042,0.0040,0,collision,
348,94,-107.69,22.31,189.65,0.0168,0.0064,0,collision,
349,42,-168.81,19.47,91.27,0.0000,0.0042,0,collision,
350,37,-175.81,7.72,171.47,0.0162,0.0000,0,collision,
351,55,-155.19,24.58,139.81,0.0364,0.0086,0,collision,
352,59,-152.31,18.03,93.48,0.0184,0.0104,0,collision,
353,43,-167.72,13.31,266.21,0.0242,0.0160,0,collision,
354,19,-203.44,2.74,38.98,0.0263,0.0000,0,collision,
355,126,-86.50,21.33,255.36,0.0069,0.0000,0,collision,
356,83,-117.89,23.19,174.85,0.0066,0.0081,0,collision,
357,24,-191.96,12.29,169.78,0.0389,0.0685,0,collision,
358,71,-138.95,19.00,95.75,0.0128,0.0065,0,collision,
359,77,-137.60,19.61,296.69,0.0046,0.0420,0,collision,
