episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
253,6,-200.456,11.859,415.107,0.000,0.108,0,collision,699
254,3,-198.568,20.643,418.402,0.000,0.041,0,collision,702
255,2,50.519,12.845,88.881,0.000,0.016,1,goal,704
256,2,-199.282,13.324,141.703,0.000,0.124,0,collision,706
257,1,0.000,0.000,0.000,0.000,0.000,0,not_found,707
258,8,-206.783,5.512,353.095,0.000,0.131,0,collision,715
259,2,-199.219,14.083,196.249,0.000,0.423,0,collision,717
260,1,0.000,0.000,0.000,0.000,0.000,0,not_found,718
261,1,0.000,0.000,0.000,0.000,0.000,0,not_found,719
262,2,-199.726,11.994,80.915,0.000,0.125,0,collision,721
263,9,-211.297,2.006,138.453,0.098,0.111,0,collision,730
264,2,-199.875,13.641,119.938,0.000,0.402,0,collision,732
265,3,51.121,20.268,361.267,0.000,0.018,1,goal,735
266,4,-203.600,1.570,45.646,0.088,0.250,0,collision,739
267,2,50.543,12.878,111.413,0.000,0.000,1,goal,741
268,1,0.000,0.000,0.000,0.000,0.000,0,not_found,742
269,3,50.784,19.806,280.901,0.000,0.006,1,goal,745
270,4,52.040,26.706,415.612,0.000,0.151,1,goal,749
271,3,-199.108,19.218,269.552,0.000,0.397,0,collision,752
272,1,0.000,0.000,0.000,0.000,0.000,0,not_found,753
273,3,51.036,19.173,290.269,0.000,0.226,1,goal,756
274,3,50.828,18.896,243.070,0.000,0.224,1,goal,759
275,4,-198.254,16.369,404.849,0.243,0.167,0,collision,763
276,1,-200.070,6.820,32.524,0.000,0.000,0,collision,764
277,3,-198.598,21.597,404.333,0.000,0.000,0,collision,767
278,4,51.592,15.942,423.465,0.027,0.200,1,goal,771
279,3,-201.759,0.964,20.829,0.124,0.072,0,collision,774
280,3,50.885,18.953,264.490,0.000,0.201,1,goal,777
281,3,-199.101,20.013,263.400,0.000,0.781,0,collision,780
282,3,-199.018,20.140,310.020,0.000,0.118,0,collision,783
283,3,-198.809,20.894,402.356,0.000,0.000,0,collision,786
284,2,-199.771,13.540,118.796,0.000,0.527,0,collision,788
285,9,-211.792,2.215,141.198,0.000,0.000,0,collision,797
286,1,0.000,0.000,0.000,0.000,0.000,0,not_found,798
287,9,-201.395,11.653,536.019,0.111,0.149,0,collision,807
288,2,-199.742,12.530,75.937,0.000,0.339,0,collision,809
289,1,0.000,0.000,0.000,0.000,0.000,0,not_found,810
290,2,50.772,14.247,168.117,0.000,0.000,1,goal,812
291,1,49.983,8.118,45.068,0.000,0.000,1,goal,813
292,4,-198.600,26.271,424.354,0.000,0.062,0,collision,817
293,10,-53.459,15.323,807.290,0.000,0.003,1,goal,827
294,3,-199.105,20.194,311.124,0.000,0.000,0,collision,830
295,2,-199.540,12.041,81.353,0.000,0.187,0,collision,832
296,3,50.994,19.834,281.443,0.000,0.000,1,goal,835
297,4,-198.415,26.074,419.325,0.000,0.258,0,collision,839
298,2,-199.559,13.688,146.426,0.000,0.049,0,collision,841
299,2,-199.222,14.291,168.747,0.000,0.352,0,collision,843
300,4,-198.479,25.633,408.150,0.000,0.049,0,collision,847
301,5,-200.993,7.531,205.646,0.000,0.240,0,collision,852
302,3,-198.829,19.202,290.851,0.000,0.020,0,collision,855
303,2,-199.725,12.316,74.115,0.000,0.430,0,collision,857
304,1,50.297,8.694,54.739,0.000,0.000,1,goal,858
305,1,-199.782,7.497,36.089,0.000,0.000,0,collision,859
306,2,50.549,13.523,131.146,0.000,0.000,1,goal,861
307,6,-203.861,3.850,168.552,0.100,0.180,0,collision,867
308,4,52.070,26.501,410.413,0.000,0.033,1,goal,871
309,4,52.209,26.754,420.806,0.000,0.000,1,goal,875
310,2,50.308,12.463,75.367,0.000,0.402,1,goal,877
311,2,50.688,13.430,143.076,0.000,0.037,1,goal,879
312,2,50.621,13.694,146.493,0.000,0.134,1,goal,881
313,4,51.503,16.234,400.446,0.186,0.295,1,goal,885
314,4,-198.332,26.486,400.846,0.000,0.184,0,collision,889
315,3,-199.018,20.142,333.699,0.000,0.288,0,collision,892
316,4,-198.272,25.635,408.196,0.000,0.000,0,collision,896
317,3,-198.972,20.152,287.630,0.000,0.192,0,collision,899
318,6,-201.017,6.357,283.839,0.157,0.155,0,collision,905
319,3,-199.264,19.962,354.271,0.000,0.004,0,collision,908
320,1,0.000,0.000,0.000,0.000,0.000,0,not_found,909
321,1,-200.024,8.314,52.127,0.000,0.000,0,collision,910
322,2,-199.447,13.890,135.595,0.000,0.468,0,collision,912
323,4,-47.633,26.764,409.197,0.000,0.000,1,goal,916
324,7,47.521,10.993,404.473,0.000,0.077,1,goal,923
325,3,51.058,19.776,280.318,0.000,0.259,1,goal,926
326,2,-199.403,13.594,159.004,0.000,0.000,0,collision,928
327,1,0.000,0.000,0.000,0.000,0.000,0,not_found,929
328,3,-199.136,19.684,300.667,0.000,0.115,0,collision,932
329,5,-47.395,32.382,544.426,0.000,0.000,1,goal,937
330,4,-201.259,3.771,110.404,0.027,0.000,0,collision,941
331,1,-199.973,8.084,44.862,0.000,0.635,0,collision,942
332,2,-199.558,12.653,97.712,0.000,0.068,0,collision,944
333,3,-201.741,0.923,19.902,0.318,0.203,0,collision,947
334,6,-197.934,15.658,559.062,0.000,0.000,0,collision,953
335,2,50.802,14.903,209.350,0.000,0.000,1,goal,955
336,3,51.281,20.377,411.653,0.000,0.000,1,goal,958
337,1,0.000,0.000,0.000,0.000,0.000,0,not_found,959
338,2,-199.684,4.695,66.290,0.196,0.476,0,collision,961
339,1,50.160,7.391,40.666,0.000,0.000,1,goal,962
340,1,-200.000,0.000,0.000,0.000,0.000,0,collision,963
341,3,51.038,20.332,362.727,0.000,0.000,1,goal,966
342,1,0.000,0.000,0.000,0.000,0.000,0,not_found,967
343,1,-200.272,8.517,53.523,0.000,0.267,0,collision,968
344,2,50.398,13.495,130.812,0.000,0.009,1,goal,970
